history,marg_count,p_emp,p_neural,p_gt
,999996,0.5039060156240625,0.5,0.5038759689922481
1,503904,0.3604337334095383,0.3556029778293821,0.36000000000000004
0,496092,0.649637567225434,0.6590315367369536,0.65
01,322280,0.5283169914360184,0.5352353366560164,0.52734375
10,322280,0.5618964875263746,0.5643321868764702,0.5625
11,181624,0.0625357882218209,0.06379182558521716,0.0625
101,181088,0.5017560523060611,0.5102095461455594,0.5
00,173812,0.8123259613835638,0.8095399780543105,0.8124999999999999
011,170266,0.06261379253638424,0.06535429607418648,0.0625
110,170266,0.5620558420354034,0.5570473560934616,0.5625
0110,159605,0.5617618495661163,0.5636049068371266,0.5625
010,152014,0.5617179996579262,0.564755682744535,0.5625
001,141192,0.562383137854836,0.5437404448202339,0.5625
100,141192,0.8128718340982491,0.8094463519397861,0.8125
1001,114771,0.5623284627649842,0.5247837284501802,0.5625
1101,95699,0.5013427517528919,0.5038274232763305,0.5
1011,90862,0.06299663225550835,0.0644515717230608,0.0625
1010,90226,0.5591182142619644,0.5555769631520563,0.5625
0101,85389,0.5022192554076051,0.5138209547699278,0.5
0011,79404,0.06217570903229056,0.0643285049359451,0.0625
1100,74567,0.8139659634959164,0.8117397087212037,0.8125
0100,66625,0.8116472795497186,0.813567783400829,0.8125
0010,61788,0.5654981549815498,0.5628040847298552,0.5625
000,32620,0.8099632127529123,0.8090987534719398,0.8125
0001,26421,0.562620642670603,0.5392964993981314,0.5625
1000,26421,0.809166950531774,0.8150024962034873,0.8125
111,11358,0.06136643775312555,0.06326290146021404,0.0625
0111,10661,0.06143888940999906,0.06386360285596804,0.0625
1110,10661,0.5664571803770754,0.5626762200129701,0.5625
0000,6199,0.8133569930633974,0.8151490807939259,0.8125
1111,697,0.06025824964131994,0.06290711265399457,0.0625
